name,variable,value
Joo Won Ahn,Started training,13.0
Aran Bell,Started training,4.0
Isabella Boylston,Started training,3.0
Skylar Brandt,Started training,6.0
Misty Copeland,Started training,13.0
Herman Cornejo,Started training,8.0
Thomas Forster,Started training,8.0
Gillian Murphy,Started training,3.0
Calvin Royal III,Started training,14.0
Hee Seo,Started training,11.0
Christine Shevchenko,Started training,4.0
Cory Stearns,Started training,5.0
Devon Teuscher,Started training,9.0
Cassandra Trenary,Started training,3.0
James Whiteside,Started training,9.0
Joo Won Ahn,Joined a different company,
Aran Bell,Joined a different company,
Isabella Boylston,Joined a different company,
Skylar Brandt,Joined a different company,
Misty Copeland,Joined a different company,
Herman Cornejo,Joined a different company,14.0
Thomas Forster,Joined a different company,
Gillian Murphy,Joined a different company,14.0
Calvin Royal III,Joined a different company,
Hee Seo,Joined a different company,
Christine Shevchenko,Joined a different company,
Cory Stearns,Joined a different company,
Devon Teuscher,Joined a different company,
Cassandra Trenary,Joined a different company,13.0
James Whiteside,Joined a different company,18.0
Joo Won Ahn,Studied at a prestigious school,19.0
Aran Bell,Studied at a prestigious school,
Isabella Boylston,Studied at a prestigious school,16.0
Skylar Brandt,Studied at a prestigious school,
Misty Copeland,Studied at a prestigious school,
Herman Cornejo,Studied at a prestigious school,
Thomas Forster,Studied at a prestigious school,11.0
Gillian Murphy,Studied at a prestigious school,15.0
Calvin Royal III,Studied at a prestigious school,
Hee Seo,Studied at a prestigious school,16.0
Christine Shevchenko,Studied at a prestigious school,8.0
Cory Stearns,Studied at a prestigious school,15.0
Devon Teuscher,Studied at a prestigious school,
Cassandra Trenary,Studied at a prestigious school,
James Whiteside,Studied at a prestigious school,
Joo Won Ahn,Studied at ABT JKO school,
Aran Bell,Studied at ABT JKO school,
Isabella Boylston,Studied at ABT JKO school,
Skylar Brandt,Studied at ABT JKO school,12.0
Misty Copeland,Studied at ABT JKO school,
Herman Cornejo,Studied at ABT JKO school,
Thomas Forster,Studied at ABT JKO school,
Gillian Murphy,Studied at ABT JKO school,
Calvin Royal III,Studied at ABT JKO school,17.0
Hee Seo,Studied at ABT JKO school,
Christine Shevchenko,Studied at ABT JKO school,
Cory Stearns,Studied at ABT JKO school,
Devon Teuscher,Studied at ABT JKO school,16.0
Cassandra Trenary,Studied at ABT JKO school,16.0
James Whiteside,Studied at ABT JKO school,
Joo Won Ahn,Promoted to principal at a different company,
Aran Bell,Promoted to principal at a different company,
Isabella Boylston,Promoted to principal at a different company,
Skylar Brandt,Promoted to principal at a different company,
Misty Copeland,Promoted to principal at a different company,
Herman Cornejo,Promoted to principal at a different company,16.0
Thomas Forster,Promoted to principal at a different company,
Gillian Murphy,Promoted to principal at a different company,
Calvin Royal III,Promoted to principal at a different company,
Hee Seo,Promoted to principal at a different company,
Christine Shevchenko,Promoted to principal at a different company,
Cory Stearns,Promoted to principal at a different company,
Devon Teuscher,Promoted to principal at a different company,
Cassandra Trenary,Promoted to principal at a different company,
James Whiteside,Promoted to principal at a different company,25.0
Joo Won Ahn,Joined ABT Studio Company,20.0
Aran Bell,Joined ABT Studio Company,16.0
Isabella Boylston,Joined ABT Studio Company,19.0
Skylar Brandt,Joined ABT Studio Company,16.0
Misty Copeland,Joined ABT Studio Company,18.0
Herman Cornejo,Joined ABT Studio Company,
Thomas Forster,Joined ABT Studio Company,20.0
Gillian Murphy,Joined ABT Studio Company,
Calvin Royal III,Joined ABT Studio Company,18.0
Hee Seo,Joined ABT Studio Company,17.0
Christine Shevchenko,Joined ABT Studio Company,18.0
Cory Stearns,Joined ABT Studio Company,19.0
Devon Teuscher,Joined ABT Studio Company,17.0
Cassandra Trenary,Joined ABT Studio Company,18.0
James Whiteside,Joined ABT Studio Company,
Joo Won Ahn,Became an apprentice,21.0
Aran Bell,Became an apprentice,18.0
